Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,SlNo,IGST,IGST%,Amount
1,01-03-23,VAY BAND 30034MT,4.67,50.00,9.00,21.02,9.00,21.02,1,0.00,0.00,275.54
1,01-03-23,VAY BAND 30054MT,4.67,50.00,9.00,21.02,9.00,21.02,2,0.00,0.00,275.54
1,01-03-23,VAY BAND 30167MT,4.67,50.00,9.00,21.02,9.00,21.02,3,0.00,0.00,275.54
1,01-03-23,VAY BAND 30181MT,4.67,50.00,9.00,21.02,9.00,21.02,4,0.00,0.00,275.54
1,01-03-23,VAY BAND 30216MT,4.67,50.00,9.00,21.02,9.00,21.02,5,0.00,0.00,275.54
1,01-03-23,VAY BAND 5063MT,4.67,150.00,9.00,63.04,9.00,63.04,6,0.00,0.00,826.58
1,01-03-23,VAY BAND 5095MT,4.67,50.00,9.00,21.02,9.00,21.02,7,0.00,0.00,275.54
1,01-03-23,VAY BAND 5171MT,4.67,300.00,9.00,126.09,9.00,126.09,8,0.00,0.00,1653.18
1,01-03-23,VAY BAND 5373MT,4.67,50.00,9.00,21.02,9.00,21.02,9,0.00,0.00,275.54
1,01-03-23,VAY BAND 5465MT,4.67,50.00,9.00,21.02,9.00,21.02,10,0.00,0.00,275.54
1,01-03-23,VAY BAND 5550MT,4.67,150.00,9.00,63.04,9.00,63.04,11,0.00,0.00,826.58
2,01-03-23,VAY BAND 30054MT,4.67,150.00,9.00,63.04,9.00,63.04,12,0.00,0.00,826.58
2,01-03-23,VAY BAND 5063MT,4.67,50.00,9.00,21.02,9.00,21.02,13,0.00,0.00,275.54
2,01-03-23,VAY BAND 5465MT,4.67,150.00,9.00,63.04,9.00,63.04,14,0.00,0.00,826.58
3,03-03-23,VAY BAND 5550MT,4.67,250.00,9.00,105.08,9.00,105.08,15,0.00,0.00,1377.66
4,04-03-23,VAY BAND 1113HG(OFF-WHITE),7.63,1000.00,9.00,686.48,9.00,686.48,16,0.00,0.00,9000.46
5,07-03-23,VAY BAND 5095MT,4.58,50.00,9.00,20.61,9.00,20.61,17,0.00,0.00,270.22
6,07-03-23,VAY BAND 30029MT,4.66,50.00,9.00,20.97,9.00,20.97,18,0.00,0.00,274.94
6,07-03-23,VAY BAND 30034MT,4.66,50.00,9.00,20.97,9.00,20.97,19,0.00,0.00,274.94
6,07-03-23,VAY BAND 30181MT,4.66,50.00,9.00,20.97,9.00,20.97,20,0.00,0.00,274.94
6,07-03-23,VAY BAND 30216MT,4.66,50.00,9.00,20.97,9.00,20.97,21,0.00,0.00,274.94
6,07-03-23,VAY BAND 5170MT,4.66,50.00,9.00,20.97,9.00,20.97,22,0.00,0.00,274.94
6,07-03-23,VAY BAND 5171MT,4.66,50.00,9.00,20.97,9.00,20.97,23,0.00,0.00,274.94
7,09-03-23,POLYFIX DE-BONDER 100ML,230.51,1.00,9.00,20.75,9.00,20.75,24,0.00,0.00,272.01
7,09-03-23,POLYFIX-FLX 20GM,27.20,100.00,9.00,244.80,9.00,244.80,25,0.00,0.00,3209.60
7,09-03-23,POLYFIX-FLX 50GM,66.52,40.00,9.00,239.47,9.00,239.47,26,0.00,0.00,3139.74
7,09-03-23,WOODSEAL 20GM,31.36,100.00,9.00,282.24,9.00,282.24,27,0.00,0.00,3700.48
7,09-03-23,WOODSEAL 50GM,74.58,40.00,9.00,268.49,9.00,268.49,28,0.00,0.00,3520.18
7,09-03-23,WPC GLUE 600GM,800.00,1.00,9.00,72.00,9.00,72.00,29,0.00,0.00,944.00
8,10-03-23,VAY BAND 30167MT,4.66,150.00,9.00,62.91,9.00,62.91,30,0.00,0.00,824.82
9,10-03-23,VAY BAND 1011MT(P-WHITE),4.66,50.00,9.00,20.97,9.00,20.97,31,0.00,0.00,274.94
9,10-03-23,VAY BAND 1113MT(OFF-WHITE),4.66,50.00,9.00,20.97,9.00,20.97,32,0.00,0.00,274.94
9,10-03-23,VAY BAND 30007MT,4.66,50.00,9.00,20.97,9.00,20.97,33,0.00,0.00,274.94
9,10-03-23,VAY BAND 30086MT,4.66,50.00,9.00,20.97,9.00,20.97,34,0.00,0.00,274.94
9,10-03-23,VAY BAND 30167MT,4.66,50.00,9.00,20.97,9.00,20.97,35,0.00,0.00,274.94
9,10-03-23,VAY BAND 5095MT,4.66,50.00,9.00,20.97,9.00,20.97,36,0.00,0.00,274.94
9,10-03-23,VAY BAND 5170MT,4.66,50.00,9.00,20.97,9.00,20.97,37,0.00,0.00,274.94
9,10-03-23,VAY BAND 5373MT,4.66,50.00,9.00,20.97,9.00,20.97,38,0.00,0.00,274.94
9,10-03-23,VAY BAND 5550MT,4.66,50.00,9.00,20.97,9.00,20.97,39,0.00,0.00,274.94
