Invoice No,Item Name,Qty,Amount,Date,Rate,CGST%,CGST,SGST%,SGST,IGST%,IGST,SlNo
1,VAY BAND 1113MT(OFF-WHITE),200.00,1099.76,01-04-23,4.66,9.00,83.88,9.00,83.88,0.00,0.00,1
2,VAY BAND 5063MT,100.00,550.02,01-04-23,4.66,9.00,41.95,9.00,41.95,0.00,0.00,2
2,VAY BAND 5465MT,150.00,825.04,01-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,3
2,VAY BAND REALWOOD LIGHT MAT,150.00,825.04,01-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,4
3,VAY BAND REALWOOD LIGHT MAT,250.00,1375.06,05-04-23,4.66,9.00,104.88,9.00,104.88,0.00,0.00,5
4,VAY BAND 1113MT(OFF-WHITE),50.00,275.02,05-04-23,4.66,9.00,20.98,9.00,20.98,0.00,0.00,6
4,VAY BAND 1515 VENGA MT,50.00,275.02,05-04-23,4.66,9.00,20.98,9.00,20.98,0.00,0.00,7
4,VAY BAND REALWOOD LIGHT MAT,50.00,275.02,05-04-23,4.66,9.00,20.98,9.00,20.98,0.00,0.00,8
5,POLYFIX-FLX 20GM,5.00,160.48,05-04-23,27.20,9.00,12.24,9.00,12.24,0.00,0.00,9
5,POLYFIX-FLX 50GM,5.00,392.46,05-04-23,66.52,9.00,29.93,9.00,29.93,0.00,0.00,10
5,VAY BAND 30034MT,150.00,825.04,05-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,11
5,VAY BAND 5063MT,150.00,825.04,05-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,12
5,VAY BAND 5465MT,150.00,825.04,05-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,13
5,WOODSEAL 20GM,5.00,185.02,05-04-23,31.36,9.00,14.11,9.00,14.11,0.00,0.00,14
5,WOODSEAL 50GM,5.00,440.02,05-04-23,74.58,9.00,33.56,9.00,33.56,0.00,0.00,15
6,VAY BAND 1011MT(P-WHITE),200.00,1100.04,05-04-23,4.66,9.00,83.90,9.00,83.90,0.00,0.00,16
7,WOODSEAL 50GM,40.00,3520.18,07-04-23,74.58,9.00,268.49,9.00,268.49,0.00,0.00,17
8,VAY BAND 1113MT(OFF-WHITE),2150.00,11086.70,08-04-23,4.37,9.00,845.60,9.00,845.60,0.00,0.00,18
9,VAY BAND 1101HG LIGHT GREY,50.00,412.42,08-04-23,6.99,9.00,31.46,9.00,31.46,0.00,0.00,19
9,VAY BAND 1113HG(OFF-WHITE),100.00,824.82,08-04-23,6.99,9.00,62.91,9.00,62.91,0.00,0.00,20
9,VAY BAND 1261HG (DARK GREY),50.00,412.42,08-04-23,6.99,9.00,31.46,9.00,31.46,0.00,0.00,21
9,VAY BAND 30029MT,150.00,752.26,08-04-23,4.25,9.00,57.38,9.00,57.38,0.00,0.00,22
9,VAY BAND 30072MT,150.00,752.26,08-04-23,4.25,9.00,57.38,9.00,57.38,0.00,0.00,23
9,VAY BAND 5171MT,150.00,752.26,08-04-23,4.25,9.00,57.38,9.00,57.38,0.00,0.00,24
9,VAY BAND 5373MT,150.00,752.26,08-04-23,4.25,9.00,57.38,9.00,57.38,0.00,0.00,25
9,VAY BAND 5550MT,150.00,752.26,08-04-23,4.25,9.00,57.38,9.00,57.38,0.00,0.00,26
10,WOODSEAL 20GM,5.00,185.02,08-04-23,31.36,9.00,14.11,9.00,14.11,0.00,0.00,27
10,WOODSEAL 50GM,5.00,440.02,08-04-23,74.58,9.00,33.56,9.00,33.56,0.00,0.00,28
11,WOODSEAL 50GM,10.00,880.04,08-04-23,74.58,9.00,67.12,9.00,67.12,0.00,0.00,29
12,VAY BAND 1011HG(P-WHITE),250.00,2124.00,08-04-23,7.20,9.00,162.00,9.00,162.00,0.00,0.00,30
12,VAY BAND 10659,150.00,782.34,08-04-23,4.42,9.00,59.67,9.00,59.67,0.00,0.00,31
12,VAY BAND 1113HG(OFF-WHITE),250.00,2124.00,08-04-23,7.20,9.00,162.00,9.00,162.00,0.00,0.00,32
12,VAY BAND 1261HG (DARK GREY),100.00,849.60,08-04-23,7.20,9.00,64.80,9.00,64.80,0.00,0.00,33
12,VAY BAND REALWOOD LIGHT MAT,250.00,1303.90,08-04-23,4.42,9.00,99.45,9.00,99.45,0.00,0.00,34
13,POLYFIX-FLX 50GM,40.00,3139.74,08-04-23,66.52,9.00,239.47,9.00,239.47,0.00,0.00,35
13,VAY BAND 10450,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,36
13,VAY BAND 10485,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,37
13,VAY BAND 10659,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,38
13,VAY BAND 10944,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,39
13,VAY BAND 1101HG LIGHT GREY,100.00,849.60,08-04-23,7.20,9.00,64.80,9.00,64.80,0.00,0.00,40
13,VAY BAND 1261HG (DARK GREY),200.00,1699.20,08-04-23,7.20,9.00,129.60,9.00,129.60,0.00,0.00,41
13,VAY BAND 1515 VENGA MT,250.00,1375.06,08-04-23,4.66,9.00,104.88,9.00,104.88,0.00,0.00,42
13,VAY BAND 19070,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,43
13,VAY BAND 19071,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,44
13,VAY BAND 19074,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,45
13,VAY BAND 19079,100.00,549.88,08-04-23,4.66,9.00,41.94,9.00,41.94,0.00,0.00,46
13,VAY BAND 30167MT,250.00,1375.06,08-04-23,4.66,9.00,104.88,9.00,104.88,0.00,0.00,47
13,WOODSEAL 50GM,40.00,3520.18,08-04-23,74.58,9.00,268.49,9.00,268.49,0.00,0.00,48
14,VAY BAND 10450,200.00,1031.32,10-04-23,4.37,9.00,78.66,9.00,78.66,0.00,0.00,49
14,VAY BAND 10485,100.00,515.66,10-04-23,4.37,9.00,39.33,9.00,39.33,0.00,0.00,50
14,VAY BAND 10659,300.00,1546.98,10-04-23,4.37,9.00,117.99,9.00,117.99,0.00,0.00,51
14,VAY BAND 10944,100.00,515.66,10-04-23,4.37,9.00,39.33,9.00,39.33,0.00,0.00,52
14,VAY BAND 1101HG LIGHT GREY,100.00,849.60,10-04-23,7.20,9.00,64.80,9.00,64.80,0.00,0.00,53
14,VAY BAND 1261HG (DARK GREY),200.00,1699.20,10-04-23,7.20,9.00,129.60,9.00,129.60,0.00,0.00,54
14,VAY BAND 19079,100.00,515.66,10-04-23,4.37,9.00,39.33,9.00,39.33,0.00,0.00,55
14,VAY BAND 30029MT,100.00,515.66,10-04-23,4.37,9.00,39.33,9.00,39.33,0.00,0.00,56
14,VAY BAND 5095MT,100.00,515.66,10-04-23,4.37,9.00,39.33,9.00,39.33,0.00,0.00,57
14,VAY BAND 5550MT,300.00,1546.98,10-04-23,4.37,9.00,117.99,9.00,117.99,0.00,0.00,58
14,VAY BAND REALWOOD LIGHT MAT,500.00,2578.30,10-04-23,4.37,9.00,196.65,9.00,196.65,0.00,0.00,59
15,VAY BAND 10659,50.00,274.94,12-04-23,4.66,9.00,20.97,9.00,20.97,0.00,0.00,60
15,VAY BAND REALWOOD LIGHT MAT,150.00,825.04,12-04-23,4.66,9.00,62.93,9.00,62.93,0.00,0.00,61
