Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
02-04-24,3.60,9.00,0,97.20,9.00,97.20,1,1274.40,0.00,300.00,VB-1011 MT(0.45MMX22MM),0.00,0
02-04-24,3.60,9.00,6750,32.40,9.00,32.40,2,424.80,0.00,100.00,VB-1121 IVORY (0.45MMX22MM),0.00,6750
02-04-24,3.60,9.00,7650,16.20,9.00,16.20,3,212.40,0.00,50.00,VB-1140 BAGE (0.45MMX22MM),0.00,7650
02-04-24,3.94,9.00,13800,70.92,9.00,70.92,4,929.84,0.00,200.00,VB-1044 (0.45MMX22MM),0.00,13800
02-04-24,4.03,9.00,0,54.40,9.00,54.40,5,713.30,0.00,150.00,VAY BAND 1313 MT CLUD GREY,0.00,0
02-04-24,4.25,9.00,0,38.25,9.00,38.25,6,501.50,0.00,100.00,VAY BAND 5063MT,0.00,0
02-04-24,4.25,9.00,3400,19.12,9.00,19.12,7,250.74,0.00,50.00,VAY BAND 5773,0.00,3400
02-04-24,4.25,9.00,3350,38.25,9.00,38.25,8,501.50,0.00,100.00,VAY BAND 30072MT,0.00,3350
02-04-24,4.25,9.00,7300,57.38,9.00,57.38,9,752.26,0.00,150.00,VAY BAND 11510,0.00,7300
02-04-24,4.25,9.00,0,38.25,9.00,38.25,10,501.50,0.00,100.00,VAY BAND 1043 (0.5 MM),0.00,0
02-04-24,4.25,9.00,50,38.25,9.00,38.25,11,501.50,0.00,100.00,VAY BAND 19071,0.00,50
02-04-24,4.25,9.00,0,38.25,9.00,38.25,12,501.50,0.00,100.00,VAY BAND 5095MT,0.00,0
02-04-24,4.25,9.00,0,19.12,9.00,19.12,13,250.74,0.00,50.00,VAY BAND REALWOOD-2 DARK MAT,0.00,0
02-04-24,4.25,9.00,5200,76.50,9.00,76.50,14,1003.00,0.00,200.00,VAY BAND 1873,0.00,5200
02-04-24,4.25,9.00,0,38.25,9.00,38.25,15,501.50,0.00,100.00,VAY BAND 5550MT,0.00,0
02-04-24,4.25,9.00,0,19.12,9.00,19.12,16,250.74,0.00,50.00,VAY BAND 19070,0.00,0
02-04-24,4.33,9.00,0,38.97,9.00,38.97,17,510.94,0.00,100.00,VAY BAND 19070,0.00,0
02-04-24,4.33,9.00,7300,38.97,9.00,38.97,18,510.94,0.00,100.00,VAY BAND 11510,0.00,7300
02-04-24,4.33,9.00,3100,19.48,9.00,19.48,19,255.46,0.00,50.00,VAY BAND 5171MT,0.00,3100
02-04-24,4.33,9.00,0,38.97,9.00,38.97,20,510.94,0.00,100.00,VAY BAND 5373MT,0.00,0
