Store ID,Store Name,FY,Item Key,Item Code / SKU,Item Name,Category / Size / Type,Sales Date,Sales Month,Sales Quantity,Selling Price,Sales Amount,Invoice Number,Customer Name,Unit,Source Row Number,Source File Name
STORE-0001,Vay Incorporates,25-26,VB-10659 (0.45X22MM),VB-10659 (0.45X22MM),VB-10659 (0.45X22MM),,2025-04-03,2025-04,150.0,0.0,697.38,1.0,,,2,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-30029 (0.45MMX22MM),VB-30029 (0.45MMX22MM),VB-30029 (0.45MMX22MM),,2025-04-03,2025-04,150.0,0.0,697.38,1.0,,,3,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND 1313 HG CLUD GREY,VAY BAND 1313 HG CLUD GREY,VAY BAND 1313 HG CLUD GREY,,2025-04-03,2025-04,250.0,0.0,1826.06,2.0,,,4,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-10485(0.45X22MM),VB-10485(0.45X22MM),VB-10485(0.45X22MM),,2025-04-03,2025-04,500.0,0.0,2324.6,2.0,,,5,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-1313MT(0.45MMX22MM),VB-1313MT(0.45MMX22MM),VB-1313MT(0.45MMX22MM),,2025-04-03,2025-04,250.0,0.0,1062.0,2.0,,,6,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,,2025-04-03,2025-04,50.0,0.0,650.78,3.0,,,7,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-1119(0.5X40MM),VB-1119(0.5X40MM),VB-1119(0.5X40MM),,2025-04-03,2025-04,50.0,0.0,650.78,3.0,,,8,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-5465 (0.45X22MM),VB-5465 (0.45X22MM),VB-5465 (0.45X22MM),,2025-04-03,2025-04,250.0,0.0,1162.3,3.0,,,9,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,,2025-04-03,2025-04,200.0,0.0,2570.04,4.0,,,10,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,,2025-04-03,2025-04,200.0,0.0,2211.32,4.0,,,11,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),,2025-04-03,2025-04,200.0,0.0,1460.84,4.0,,,12,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND REALWUD3 - 0.5X40MM,VAY BAND REALWUD3 - 0.5X40MM,VAY BAND REALWUD3 - 0.5X40MM,,2025-04-03,2025-04,200.0,0.0,2603.08,4.0,,,13,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VAY BAND1135 HG{.5},VAY BAND1135 HG{.5},VAY BAND1135 HG{.5},,2025-04-03,2025-04,200.0,0.0,1460.84,4.0,,,14,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-1113 MAT OFF-WHITE (0.45MMX22MM),VB-1113 MAT OFF-WHITE (0.45MMX22MM),VB-1113 MAT OFF-WHITE (0.45MMX22MM),,2025-04-03,2025-04,500.0,0.0,2124.0,4.0,,,15,2025-2026.csv
STORE-0001,Vay Incorporates,25-26,VB-1114 MAT (0.45MMX22MM),VB-1114 MAT (0.45MMX22MM),VB-1114 MAT (0.45MMX22MM),,2025-04-03,2025-04,400.0,0.0,1699.2,4.0,,,16,2025-2026.csv
