SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
1,1,3/4/2025,VB-10659 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
2,1,3/4/2025,VB-30029 (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
3,2,3/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,250,9,139.28,9,139.28,0,0,1826.06
4,2,3/4/2025,VB-10485(0.45X22MM),3.94,500,9,177.3,9,177.3,0,0,2324.6
5,2,3/4/2025,VB-1313MT(0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
6,3,3/4/2025,VAY BAND 1013 40 MM,11.03,50,9,49.64,9,49.64,0,0,650.78
7,3,3/4/2025,VB-1119(0.5X40MM),11.03,50,9,49.64,9,49.64,0,0,650.78
8,3,3/4/2025,VB-5465 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
9,4,3/4/2025,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,10.89,200,9,196.02,9,196.02,0,0,2570.04
10,4,3/4/2025,VAY BAND 1114MT 0.5MMX40MM,9.37,200,9,168.66,9,168.66,0,0,2211.32
11,4,3/4/2025,VAY BAND 1126 HG (.5),6.19,200,9,111.42,9,111.42,0,0,1460.84
12,4,3/4/2025,VAY BAND REALWUD3 - 0.5X40MM,11.03,200,9,198.54,9,198.54,0,0,2603.08
13,4,3/4/2025,VAY BAND1135 HG{.5},6.19,200,9,111.42,9,111.42,0,0,1460.84
14,4,3/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,500,9,162,9,162,0,0,2124
15,4,3/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,400,9,129.6,9,129.6,0,0,1699.2
16,4,3/4/2025,VB-1291 ELECTRIC BLUE (0.45MMX22MM),3.6,200,9,64.8,9,64.8,0,0,849.6
17,4,3/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,400,9,141.84,9,141.84,0,0,1859.68
18,5,3/4/2025,VAY BAND 1126 HG (.5),6.19,250,9,139.28,9,139.28,0,0,1826.06
19,5,3/4/2025,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
20,5,3/4/2025,VAY BAND1136MT0.5X22MM,4.03,250,9,90.68,9,90.68,0,0,1188.86
21,5,3/4/2025,VB-1263HG(0.5MMX22MM),6.19,250,9,139.28,9,139.28,0,0,1826.06
22,6,3/4/2025,VAY BAND 1133MT0.5X22MM,4.03,250,9,90.68,9,90.68,0,0,1188.86
23,7,3/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,500,9,278.55,9,278.55,0,0,3652.1
24,7,3/4/2025,VAY BAND1114HG,6.19,500,9,278.55,9,278.55,0,0,3652.1
