Category ID,Category Name,Box Qty,Active,Created At,Updated At
CAT-0001,Uncategorized,0,Yes,2026-06-28 13:03:42,2026-06-29 12:36:40
CAT-0002,RX-VAYBAND-SOLID-MAT-0.45*22,1300.0,Yes,2026-06-28 13:08:11,2026-06-28 13:08:11
CAT-0003,RX-VAYBAND-WOOD-MAT-0.45*22,1300.0,Yes,2026-06-28 13:09:15,2026-06-28 13:09:15
CAT-0004,RX-VAYBAND-SOLID-GLOSSY-0.5*22,1300.0,Yes,2026-06-28 13:10:55,2026-06-28 13:10:55
CAT-0005,RX-VAYBAND-SOLID-MAT-0.5*22,1300.0,Yes,2026-06-28 13:12:03,2026-06-28 13:12:03
CAT-0006,RX-VAYBAND-WOOD-MAT-0.5*22,1300.0,Yes,2026-06-28 13:12:08,2026-06-28 13:12:08
CAT-0007,RX-VAYBAND-SOLID-MAT-0.8*22,750.0,Yes,2026-06-28 13:16:08,2026-06-28 13:16:08
CAT-0008,RX-VAYBAND-SOLID-GLOSSY-0.8*22,750.0,Yes,2026-06-28 13:16:25,2026-06-28 13:16:25
CAT-0009,RX-VAYBAND-WOOD-MAT-0.8*22,750.0,Yes,2026-06-28 13:16:34,2026-06-28 13:16:34
CAT-0010,RX-VAYBAND-SOLID-MAT-1.3*22,500.0,Yes,2026-06-28 13:19:28,2026-06-28 13:19:28
CAT-0011,RX-VAYBAND-SOLID-GLOSSY-1.3*22,500.0,Yes,2026-06-28 13:19:38,2026-06-28 13:19:38
CAT-0012,RX-VAYBAND-SOLID-GLOSSY-2*22,600.0,Yes,2026-06-28 13:20:37,2026-06-28 13:20:37
CAT-0013,RX-VAYBAND-SOLID-MAT-2*22,600.0,Yes,2026-06-28 13:20:46,2026-06-28 13:20:46
CAT-0014,RX-VAYBAND-WOOD-MAT-2*22,600.0,Yes,2026-06-28 13:20:50,2026-06-28 13:20:50
CAT-0015,RX-VAYBAND-WOOD-MAT-0.5*40,750.0,Yes,2026-06-28 13:22:09,2026-06-28 13:22:09
CAT-0016,RX-VAYBAND-SOLID-MAT-0.5*40,750.0,Yes,2026-06-28 13:22:14,2026-06-28 13:22:14
CAT-0017,RX-VAYBAND-SOLID-GLOSSY-0.5*40,750.0,Yes,2026-06-28 13:22:25,2026-06-28 13:22:25
CAT-0018,RX-VAYBAND-SOLID-MAT-0.45*40,750.0,Yes,2026-06-28 13:22:46,2026-06-28 13:22:46
CAT-0019,RX-VAYBAND-WOOD-MAT-0.45*40,750.0,Yes,2026-06-28 13:22:53,2026-06-28 13:22:53
CAT-0020,RX-VAYBAND-WOOD-MAT-0.8*40,750.0,Yes,2026-06-28 13:23:29,2026-06-28 13:23:29
CAT-0021,RX-VAYBAND-SOLID-MAT-0.8*40,750.0,Yes,2026-06-28 13:23:35,2026-06-28 13:23:35
CAT-0022,RX-VAYBAND-SOLID-GLOSSY-0.8*40,750.0,Yes,2026-06-28 13:23:41,2026-06-28 13:23:41
CAT-0023,RX-VAYBAND-SOLID-GLOSSY-2*40,150.0,Yes,2026-06-28 13:24:45,2026-06-28 13:24:45
CAT-0024,RX-VAYBAND-SOLID-MAT-2*40,150.0,Yes,2026-06-28 13:24:50,2026-06-28 13:24:50
CAT-0025,RX-VAYBAND-WOOD-MAT-2*40,150.0,Yes,2026-06-28 13:24:54,2026-06-28 13:24:54
