Item Code / SKU,Item Key,Supplier Name,Assigned Supplier ID,Assigned Supplier Name,Supplier Source,Is Discontinued,Discontinued Date,Discontinued Reason,Item Name,Category / Size / Type,Total Sales Qty,Overall Monthly Velocity Qty,Recent Period Sales Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Older Avg Monthly Sales Qty,Recent Avg Monthly Sales Qty,Trend Change %,Sales Trend,Monthly Sales Std Dev,Sales CV,Consistency Class,Current Stock Qty,Stock Coverage Months,Recent Stock Coverage Months,Relevant Velocity Qty,Suggested Target Cover Months,Required Stock Qty,Exact Purchase Requirement Qty,Box / Pack Quantity,Rounded PO Qty,Final PO Quantity,Stock After PO Qty,Stock Cover After PO Months,Extra Stock Due To Rounding,Overstock After PO Flag,Purchase Price,Estimated Purchase Value,Purchase Priority,Stock Risk Level,PO Optimization Decision,Budget Priority Score,Included In Budget PO,Deferred Reason,Budget Approved PO Quantity,Budget Approved PO Value,Reason for Recommendation,Target Stock Cover,Reason
10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,10397 HG(0.5X22 MM),,350.0,8.75,350.0,58.333333333333336,43.458333333333336,28.1496062992126,Slow Moving,5.0,33.33333333333333,0.0,58.333333333333336,0.0,New Moving Item,42.195363702055204,4.82232728023488,Irregular,4750.0,542.8571428571429,81.42857142857143,58.333333333333336,1.0,58.333333333333336,0.0,1300.0,0.0,0.0,4750.0,81.42857142857143,0.0,Yes,7.15,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1141.6666666666667,Yes,,0.0,0.0,Slow Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 1.0 months,,
10398 HG(0.5X22MM),10398 HG(0.5X22MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,10398 HG(0.5X22MM),,0.0,0.0,,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular,5550.0,,,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,5550.0,0.0,0.0,No,7.15,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1500.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Irregular; Overstock Risk; Enough Stock / No Purchase,,
10659 (0.45X40MM),10659 (0.45X40MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,10659 (0.45X40MM),,50.0,1.25,50.0,8.333333333333334,6.208333333333333,7.086614173228346,Slow Moving,2.5,16.666666666666664,0.0,8.333333333333334,0.0,New Moving Item,7.905694150420948,6.324555320336758,One-time Sale,0.0,0.0,0.0,8.333333333333334,1.0,8.333333333333334,8.333333333333334,,9.0,9.0,9.0,1.0799999999999998,0.6666666666666661,No,7.37,66.33,Medium,Medium Stock Risk,Purchase Optimized,5308.267003333333,Yes,,9.0,66.33,Slow Moving; New Moving Item; One-time Sale; Medium Stock Risk; Purchase Optimized; dynamic cover 1.0 months,,
1126 HG(0.5X40),1126 HG(0.5X40),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1126 HG(0.5X40),,400.0,10.0,400.0,66.66666666666667,49.666666666666664,33.07086614173229,Slow Moving,7.5,50.0,0.0,66.66666666666667,0.0,New Moving Item,42.66746794119403,4.2667467941194035,Irregular,1550.0,155.0,23.25,66.66666666666667,1.0,66.66666666666667,0.0,750.0,0.0,0.0,1550.0,23.25,0.0,Yes,7.98,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1133.3333333333333,Yes,,0.0,0.0,Slow Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 1.0 months,,
1126 MT 0.5 X22,1126 MT 0.5 X22,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1126 MT 0.5 X22,,0.0,0.0,,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular,0.0,,,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,No,3.08,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Irregular; Low Stock Risk; Enough Stock / No Purchase,,
1131 0.5X40MM,1131 0.5X40MM,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1131 0.5X40MM,,750.0,18.75,750.0,125.0,93.125,46.45669291338583,Medium Moving,2.5,16.666666666666664,0.0,125.0,0.0,New Moving Item,118.58541225631421,6.324555320336758,One-time Sale,1500.0,80.0,12.0,125.0,2.5,312.5,0.0,,0.0,0.0,1500.0,12.0,0.0,Yes,8.91,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-375.0,Yes,,0.0,0.0,Medium Moving; New Moving Item; One-time Sale; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
1135 HG 0.5X40MM,1135 HG 0.5X40MM,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1135 HG 0.5X40MM,,1300.0,32.5,1300.0,216.66666666666666,161.41666666666666,61.023622047244096,Medium Moving,7.5,50.0,0.0,216.66666666666666,0.0,New Moving Item,134.23572836331903,4.130330103486739,Irregular,1000.0,30.76923076923077,4.615384615384616,216.66666666666666,2.5,541.6666666666666,0.0,750.0,0.0,0.0,1000.0,4.615384615384616,0.0,Yes,7.98,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-283.33333333333326,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1135 HG 0.8 X 22 MM,,900.0,22.5,900.0,150.0,111.75,52.362204724409445,Medium Moving,7.5,50.0,0.0,150.0,0.0,New Moving Item,99.96794357987837,4.4430197146612604,Irregular,4200.0,186.66666666666666,28.0,150.0,2.5,375.0,0.0,750.0,0.0,0.0,4200.0,28.0,0.0,Yes,9.16,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-350.0,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
1140 HG (BAGE),1140 HG (BAGE),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1140 HG (BAGE),,6200.0,155.0,6200.0,1033.3333333333333,769.8333333333333,90.94488188976378,Very Fast Moving,7.5,50.0,0.0,1033.3333333333333,0.0,New Moving Item,574.5455283113464,3.70674534394417,Irregular,1750.0,11.290322580645162,1.6935483870967742,1033.3333333333333,3.5,3616.6666666666665,1866.6666666666665,,1867.0,1867.0,3617.0,3.5003225806451614,0.3333333333334849,No,5.7,10641.9,No Purchase,Overstock Risk,Purchase Optimized,2522.691433333333,Yes,,1867.0,10641.9,Very Fast Moving; New Moving Item; Irregular; Overstock Risk; Purchase Optimized; dynamic cover 3.5 months,,
11510 (0.45X40MM),11510 (0.45X40MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,11510 (0.45X40MM),,50.0,1.25,50.0,8.333333333333334,6.208333333333333,7.086614173228346,Slow Moving,2.5,16.666666666666664,0.0,8.333333333333334,0.0,New Moving Item,7.905694150420948,6.324555320336758,One-time Sale,500.0,400.0,59.99999999999999,8.333333333333334,1.0,8.333333333333334,0.0,,0.0,0.0,500.0,59.99999999999999,0.0,Yes,7.37,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1191.6666666666667,Yes,,0.0,0.0,Slow Moving; New Moving Item; One-time Sale; Overstock Risk; Enough Stock / No Purchase; dynamic cover 1.0 months,,
