Item Code / SKU,Item Key,Item Name,Overall Monthly Velocity Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Consistency Class
10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),8.75,58.333333333333336,43.458333333333336,28.1496062992126,Slow Moving,5.0,33.33333333333333,Irregular
10398 HG(0.5X22MM),10398 HG(0.5X22MM),10398 HG(0.5X22MM),0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
10659 (0.45X40MM),10659 (0.45X40MM),10659 (0.45X40MM),1.25,8.333333333333334,6.208333333333333,7.086614173228346,Slow Moving,2.5,16.666666666666664,One-time Sale
1126 HG(0.5X40),1126 HG(0.5X40),1126 HG(0.5X40),10.0,66.66666666666667,49.666666666666664,33.07086614173229,Slow Moving,7.5,50.0,Irregular
1126 MT 0.5 X22,1126 MT 0.5 X22,1126 MT 0.5 X22,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
1131 0.5X40MM,1131 0.5X40MM,1131 0.5X40MM,18.75,125.0,93.125,46.45669291338583,Medium Moving,2.5,16.666666666666664,One-time Sale
1135 HG 0.5X40MM,1135 HG 0.5X40MM,1135 HG 0.5X40MM,32.5,216.66666666666666,161.41666666666666,61.023622047244096,Medium Moving,7.5,50.0,Irregular
1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,22.5,150.0,111.75,52.362204724409445,Medium Moving,7.5,50.0,Irregular
1140 HG (BAGE),1140 HG (BAGE),1140 HG (BAGE),155.0,1033.3333333333333,769.8333333333333,90.94488188976378,Very Fast Moving,7.5,50.0,Irregular
11510 (0.45X40MM),11510 (0.45X40MM),11510 (0.45X40MM),1.25,8.333333333333334,6.208333333333333,7.086614173228346,Slow Moving,2.5,16.666666666666664,One-time Sale
1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),7.5,50.0,37.25,24.015748031496063,Slow Moving,5.0,33.33333333333333,Irregular
1261MT 2MMX22MM,1261MT 2MMX22MM,1261MT 2MMX22MM,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
1264 MT 0.5 X 22,1264 MT 0.5 X 22,1264 MT 0.5 X 22,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
1267 HG(0.5X22MM),1267 HG(0.5X22MM),1267 HG(0.5X22MM),83.75,558.3333333333334,415.9583333333333,80.51181102362204,Fast Moving,7.5,50.0,Irregular
19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),12.5,58.333333333333336,44.583333333333336,29.133858267716533,Slow Moving,5.0,16.666666666666664,Irregular
19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),66.25,441.6666666666667,329.0416666666667,75.59055118110236,Fast Moving,7.5,50.0,Irregular
19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),100.0,666.6666666666666,496.66666666666663,86.22047244094489,Fast Moving,7.5,50.0,Irregular
19992 MT 0.5 X 22,19992 MT 0.5 X 22,19992 MT 0.5 X 22,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),60.0,400.0,298.0,72.04724409448819,Medium Moving,7.5,50.0,Irregular
19994 HG(0.5X22MM),19994 HG(0.5X22MM),19994 HG(0.5X22MM),83.75,558.3333333333334,415.9583333333333,80.51181102362204,Fast Moving,7.5,50.0,Irregular
19995 HG(0.5X22MM),19995 HG(0.5X22MM),19995 HG(0.5X22MM),51.25,341.6666666666667,254.54166666666666,69.68503937007874,Medium Moving,7.5,50.0,Irregular
19996 HG(0.5X22 MM),19996 HG(0.5X22 MM),19996 HG(0.5X22 MM),88.75,591.6666666666666,440.79166666666663,83.85826771653542,Fast Moving,7.5,50.0,Irregular
2891 0.5X40MM,2891 0.5X40MM,2891 0.5X40MM,23.75,158.33333333333334,117.95833333333333,54.7244094488189,Medium Moving,7.5,50.0,Irregular
2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),52.5,350.0,260.75,70.07874015748031,Medium Moving,7.5,50.0,Irregular
5465 (0.5X40MM),5465 (0.5X40MM),5465 (0.5X40MM),17.5,116.66666666666667,86.91666666666667,45.2755905511811,Medium Moving,7.5,50.0,Irregular
7611 (0.45 X 22 MM),7611 (0.45 X 22 MM),7611 (0.45 X 22 MM),75.0,500.0,372.5,77.95275590551181,Fast Moving,7.5,50.0,Irregular
POLYFIX DE-BONDER 100ML,POLYFIX DE-BONDER 100ML,POLYFIX DE-BONDER 100ML,0.05,0.0,0.015,0.39370078740157477,Dormant,5.0,0.0,Dormant
POLYFIX WPC GRADE 50GM,POLYFIX WPC GRADE 50GM,POLYFIX WPC GRADE 50GM,6.3,0.0,1.89,3.543307086614173,Dormant,15.0,0.0,Dormant
POLYFIX-FLX 20GM,POLYFIX-FLX 20GM,POLYFIX-FLX 20GM,21.85,0.0,6.555000000000001,8.267716535433072,Dormant,22.5,0.0,Dormant
POLYFIX-FLX 50GM,POLYFIX-FLX 50GM,POLYFIX-FLX 50GM,22.3,0.0,6.69,8.661417322834646,Dormant,30.0,0.0,Dormant
REALWOOD 1 (0.45X22),REALWOOD 1 (0.45X22),REALWOOD 1 (0.45X22),115.0,766.6666666666666,571.1666666666666,88.58267716535433,Fast Moving,7.5,50.0,Irregular
REALWOOD2 (0.5 X 40 MM),REALWOOD2 (0.5 X 40 MM),REALWOOD2 (0.5 X 40 MM),13.75,91.66666666666667,68.29166666666667,40.94488188976378,Medium Moving,7.5,50.0,Irregular
TOTAL,TOTAL,Total,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Moderate
VAY BAND 1003 (0.5 MM),VAY BAND 1003 (0.5 MM),VAY BAND 1003 (0.5 MM),470.0,0.0,141.0,58.85826771653543,Dormant,15.0,0.0,Dormant
VAY BAND 1011HG(P-WHITE),VAY BAND 1011HG(P-WHITE),VAY BAND 1011HG(P-WHITE),816.25,0.0,244.875,68.50393700787401,Dormant,32.5,0.0,Dormant
VAY BAND 1011HG(P-WHITE) 40MMX50MTR,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,35.0,0.0,10.5,12.598425196850393,Dormant,10.0,0.0,Dormant
VAY BAND 1011MT(P-WHITE),VAY BAND 1011MT(P-WHITE),VAY BAND 1011MT(P-WHITE),746.25,0.0,223.875,66.53543307086615,Dormant,27.5,0.0,Dormant
VAY BAND 1011MT(P-WHITE) 40MMX50MTR,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,VAY BAND 1011MT(P-WHITE) 40MMX50MTR,57.5,0.0,17.25,16.141732283464567,Dormant,20.0,0.0,Dormant
VAY BAND 1013,VAY BAND 1013,VAY BAND 1013,648.75,0.0,194.625,63.77952755905512,Dormant,25.0,0.0,Dormant
VAY BAND 1013 0.8MMX22MM,VAY BAND 1013 0.8MMX22MM,VAY BAND 1013 0.8MMX22MM,66.25,150.0,124.875,56.496062992125985,Medium Moving,25.0,50.0,Irregular
VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,VAY BAND 1013 40 MM,46.25,0.0,13.875,14.566929133858267,Dormant,30.0,0.0,Dormant
VAY BAND 1014 SPECIAL WHITE,VAY BAND 1014 SPECIAL WHITE,VAY BAND 1014 SPECIAL WHITE,183.75,0.0,55.125,35.826771653543304,Dormant,35.0,0.0,Dormant
VAY BAND 1033MT 0.5X22MM,VAY BAND 1033MT 0.5X22MM,VAY BAND 1033MT 0.5X22MM,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,Irregular
VAY BAND 1043 (0.5 MM),VAY BAND 1043 (0.5 MM),VAY BAND 1043 (0.5 MM),1071.25,0.0,321.375,75.19685039370079,Dormant,17.5,0.0,Dormant
VAY BAND 10450,VAY BAND 10450,VAY BAND 10450,780.0,0.0,234.0,67.32283464566929,Dormant,45.0,0.0,Dormant
VAY BAND 10485,VAY BAND 10485,VAY BAND 10485,1133.75,0.0,340.125,75.98425196850394,Dormant,42.5,0.0,Dormant
VAY BAND 10485 40MM,VAY BAND 10485 40MM,VAY BAND 10485 40MM,101.25,50.0,65.375,40.15748031496063,Medium Moving,47.5,33.33333333333333,Irregular
VAY BAND 10659,VAY BAND 10659,VAY BAND 10659,2178.75,0.0,653.625,88.9763779527559,Dormant,30.0,0.0,Dormant
VAY BAND 10659 0.5X22MM,VAY BAND 10659 0.5X22MM,VAY BAND 10659 0.5X22MM,470.0,0.0,141.0,58.85826771653543,Dormant,15.0,0.0,Dormant
VAY BAND 10659 0.8MMX22MM,VAY BAND 10659 0.8MMX22MM,VAY BAND 10659 0.8MMX22MM,448.75,941.6666666666666,793.7916666666666,91.33858267716536,Very Fast Moving,37.5,50.0,Irregular
VAY BAND 10659 2MMX22MM,VAY BAND 10659 2MMX22MM,VAY BAND 10659 2MMX22MM,97.5,150.0,134.25,57.08661417322835,Medium Moving,22.5,33.33333333333333,Irregular
VAY BAND 10659 2MMX40MM,VAY BAND 10659 2MMX40MM,VAY BAND 10659 2MMX40MM,31.25,66.66666666666667,56.041666666666664,36.61417322834646,Slow Moving,22.5,33.33333333333333,Irregular
VAY BAND 10659 40MM,VAY BAND 10659 40MM,VAY BAND 10659 40MM,462.5,558.3333333333334,529.5833333333333,87.00787401574803,Fast Moving,62.5,50.0,Moderate
VAY BAND 10944,VAY BAND 10944,VAY BAND 10944,355.0,0.0,106.5,50.39370078740157,Dormant,40.0,0.0,Dormant
VAY BAND 1101HG LIGHT GREY,VAY BAND 1101HG LIGHT GREY,VAY BAND 1101HG LIGHT GREY,303.75,0.0,91.125,45.66929133858268,Dormant,50.0,0.0,Dormant
VAY BAND 1113HG (0.8MM),VAY BAND 1113HG (0.8MM),VAY BAND 1113HG (0.8MM),146.25,191.66666666666666,178.04166666666666,62.59842519685039,Medium Moving,37.5,50.0,Irregular
VAY BAND 1113HG(OFF-WHITE),VAY BAND 1113HG(OFF-WHITE),VAY BAND 1113HG(OFF-WHITE),2835.0,2766.6666666666665,2787.1666666666665,97.63779527559055,Very Fast Moving,70.0,50.0,Moderate
VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,206.25,250.0,236.875,67.71653543307087,Medium Moving,50.0,50.0,Irregular
VAY BAND 1113MT (0.8MM),VAY BAND 1113MT (0.8MM),VAY BAND 1113MT (0.8MM),183.75,91.66666666666667,119.29166666666667,55.118110236220474,Medium Moving,45.0,50.0,Irregular
VAY BAND 1113MT (0.8MMX40MM),VAY BAND 1113MT (0.8MMX40MM),VAY BAND 1113MT (0.8MMX40MM),6.25,8.333333333333334,7.708333333333333,9.84251968503937,Slow Moving,5.0,16.666666666666664,Irregular
VAY BAND 1113MT(OFF-WHITE),VAY BAND 1113MT(OFF-WHITE),VAY BAND 1113MT(OFF-WHITE),1315.0,0.0,394.5,79.52755905511812,Dormant,35.0,0.0,Dormant
VAY BAND 1113MT(OFF-WHITE) 40MMX50MTR,VAY BAND 1113MT(OFF-WHITE) 40MMX50MTR,VAY BAND 1113MT(OFF-WHITE) 40MMX50MTR,70.0,0.0,21.0,17.716535433070867,Dormant,17.5,0.0,Dormant
VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,186.25,358.3333333333333,306.7083333333333,74.01574803149606,Medium Moving,35.0,50.0,Irregular
VAY BAND 1113MT(OFF-WHITE)-200 MTR,VAY BAND 1113MT(OFF-WHITE)-200 MTR,VAY BAND 1113MT(OFF-WHITE)-200 MTR,455.0,0.0,136.5,57.48031496062992,Dormant,32.5,0.0,Dormant
VAY BAND 1114 HG2MMX22MM,VAY BAND 1114 HG2MMX22MM,VAY BAND 1114 HG2MMX22MM,23.75,33.333333333333336,30.458333333333332,20.866141732283463,Slow Moving,12.5,16.666666666666664,Irregular
VAY BAND 1114GL 0.5MMX40MM,VAY BAND 1114GL 0.5MMX40MM,VAY BAND 1114GL 0.5MMX40MM,233.75,416.6666666666667,361.7916666666667,77.55905511811024,Fast Moving,37.5,50.0,Irregular
VAY BAND 1114GL 0.8MMX22MM,VAY BAND 1114GL 0.8MMX22MM,VAY BAND 1114GL 0.8MMX22MM,206.25,500.0,411.875,79.92125984251969,Fast Moving,35.0,50.0,Irregular
VAY BAND 1114MT,VAY BAND 1114MT,VAY BAND 1114MT,160.0,0.0,48.0,31.496062992125985,Dormant,7.5,0.0,Dormant
VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,VAY BAND 1114MT 0.5MMX40MM,222.5,466.6666666666667,393.4166666666667,79.13385826771653,Fast Moving,40.0,50.0,Irregular
VAY BAND 1114MT 0.8MMX22MM,VAY BAND 1114MT 0.8MMX22MM,VAY BAND 1114MT 0.8MMX22MM,143.75,191.66666666666666,177.29166666666666,62.20472440944882,Medium Moving,35.0,50.0,Irregular
VAY BAND 1114MT 2MMX22MM,VAY BAND 1114MT 2MMX22MM,VAY BAND 1114MT 2MMX22MM,17.5,8.333333333333334,11.083333333333332,12.992125984251967,Slow Moving,15.0,16.666666666666664,Irregular
VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),VAY BAND 1126 HG (.5),1022.5,1758.3333333333333,1537.5833333333333,95.66929133858267,Fast Moving,30.0,33.33333333333333,Irregular
VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,222.5,1466.6666666666667,1093.4166666666667,93.30708661417323,Very Fast Moving,10.0,50.0,Irregular
VAY BAND 1127 HG (.5),VAY BAND 1127 HG (.5),VAY BAND 1127 HG (.5),492.5,383.3333333333333,416.0833333333333,81.10236220472441,Fast Moving,32.5,50.0,Irregular
VAY BAND 1128 HG(.5),VAY BAND 1128 HG(.5),VAY BAND 1128 HG(.5),193.75,125.0,145.625,59.4488188976378,Medium Moving,30.0,33.33333333333333,Irregular
VAY BAND 1132 0.5X22MM,VAY BAND 1132 0.5X22MM,VAY BAND 1132 0.5X22MM,252.5,0.0,75.75,41.732283464566926,Dormant,15.0,0.0,Dormant
VAY BAND 1133MT0.5X22MM,VAY BAND 1133MT0.5X22MM,VAY BAND 1133MT0.5X22MM,90.0,41.666666666666664,56.166666666666664,37.00787401574803,Slow Moving,22.5,33.33333333333333,Irregular
VAY BAND 1140 HG DARK GREY 3,VAY BAND 1140 HG DARK GREY 3,VAY BAND 1140 HG DARK GREY 3,156.25,0.0,46.875,31.10236220472441,Dormant,12.5,0.0,Dormant
