Item Code / SKU,Item Name,Velocity Class,Current Stock Qty,Recent Stock Coverage Months,Suggested Target Cover Months,Stock Risk Level,Overstock After PO Flag,PO Optimization Decision
10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),Slow Moving,4750.0,81.42857142857143,1.0,Overstock Risk,Yes,Enough Stock / No Purchase
10398 HG(0.5X22MM),10398 HG(0.5X22MM),Dead Stock / No Sales,5550.0,,0.0,Overstock Risk,No,Enough Stock / No Purchase
10659 (0.45X40MM),10659 (0.45X40MM),Slow Moving,0.0,0.0,1.0,Medium Stock Risk,No,Purchase Optimized
1126 HG(0.5X40),1126 HG(0.5X40),Slow Moving,1550.0,23.25,1.0,Overstock Risk,Yes,Enough Stock / No Purchase
1126 MT 0.5 X22,1126 MT 0.5 X22,Dead Stock / No Sales,0.0,,0.0,Low Stock Risk,No,Enough Stock / No Purchase
1131 0.5X40MM,1131 0.5X40MM,Medium Moving,1500.0,12.0,2.5,Overstock Risk,Yes,Enough Stock / No Purchase
1135 HG 0.5X40MM,1135 HG 0.5X40MM,Medium Moving,1000.0,4.615384615384616,2.5,Overstock Risk,Yes,Enough Stock / No Purchase
1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,Medium Moving,4200.0,28.0,2.5,Overstock Risk,Yes,Enough Stock / No Purchase
1140 HG (BAGE),1140 HG (BAGE),Very Fast Moving,1750.0,1.6935483870967742,3.5,Overstock Risk,No,Purchase Optimized
11510 (0.45X40MM),11510 (0.45X40MM),Slow Moving,500.0,59.99999999999999,1.0,Overstock Risk,Yes,Enough Stock / No Purchase
1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),Slow Moving,700.0,14.0,1.0,Overstock Risk,Yes,Enough Stock / No Purchase
1261MT 2MMX22MM,1261MT 2MMX22MM,Dead Stock / No Sales,600.0,,0.0,Overstock Risk,No,Enough Stock / No Purchase
1264 MT 0.5 X 22,1264 MT 0.5 X 22,Dead Stock / No Sales,0.0,,0.0,Low Stock Risk,No,Enough Stock / No Purchase
