Supplier Name,Sl No,Item Code / SKU,Item Name,Size / Type,Quantity,Unit,Purchase Price,Total Amount
RAHMA Associates,1,VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),,1300.0,Meters,3.48,4524.0
RAHMA Associates,2,VAY BAND 11510(0.5X22),VAY BAND 11510(0.5X22),,1300.0,Meters,3.39,4407.0
RAHMA Associates,3,2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),,750.0,Meters,8.91,6682.5
RAHMA Associates,4,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,,317.0,Meters,8.26,2618.42
RAHMA Associates,5,19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),,1300.0,Meters,5.7,7410.0
RAHMA Associates,6,10659 (0.45X40MM),10659 (0.45X40MM),,9.0,Meters,7.37,66.33
RAHMA Associates,7,VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),,9100.0,Meters,3.48,31668.0
RAHMA Associates,8,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,,2600.0,Meters,2.71,7046.0
RAHMA Associates,9,1140 HG (BAGE),1140 HG (BAGE),,1867.0,Meters,5.7,10641.9
Unknown Supplier,1,VAY G-PROFILE BLACK 10 FT-1050 GRM,VAY G-PROFILE BLACK 10 FT-1050 GRM,,30.0,Meters,580.0,17400.0
Unknown Supplier,2,VAY G-PROFILE BLACK 10 FT-1250 GRM,VAY G-PROFILE BLACK 10 FT-1250 GRM,,26.0,Meters,641.0,16666.0
