Item Code / SKU,Item Name,Older Avg Monthly Sales Qty,Recent Avg Monthly Sales Qty,Trend Change %,Sales Trend,Monthly Sales Std Dev,Sales CV,Consistency Class
10397 HG(0.5X22 MM),10397 HG(0.5X22 MM),0.0,58.333333333333336,0.0,New Moving Item,42.195363702055204,4.82232728023488,Irregular
10398 HG(0.5X22MM),10398 HG(0.5X22MM),0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
10659 (0.45X40MM),10659 (0.45X40MM),0.0,8.333333333333334,0.0,New Moving Item,7.905694150420948,6.324555320336758,One-time Sale
1126 HG(0.5X40),1126 HG(0.5X40),0.0,66.66666666666667,0.0,New Moving Item,42.66746794119403,4.2667467941194035,Irregular
1126 MT 0.5 X22,1126 MT 0.5 X22,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
1131 0.5X40MM,1131 0.5X40MM,0.0,125.0,0.0,New Moving Item,118.58541225631421,6.324555320336758,One-time Sale
1135 HG 0.5X40MM,1135 HG 0.5X40MM,0.0,216.66666666666666,0.0,New Moving Item,134.23572836331903,4.130330103486739,Irregular
1135 HG 0.8 X 22 MM,1135 HG 0.8 X 22 MM,0.0,150.0,0.0,New Moving Item,99.96794357987837,4.4430197146612604,Irregular
1140 HG (BAGE),1140 HG (BAGE),0.0,1033.3333333333333,0.0,New Moving Item,574.5455283113464,3.70674534394417,Irregular
11510 (0.45X40MM),11510 (0.45X40MM),0.0,8.333333333333334,0.0,New Moving Item,7.905694150420948,6.324555320336758,One-time Sale
1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),0.0,50.0,0.0,New Moving Item,34.99084129252931,4.665445505670575,Irregular
1261MT 2MMX22MM,1261MT 2MMX22MM,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
1264 MT 0.5 X 22,1264 MT 0.5 X 22,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
1267 HG(0.5X22MM),1267 HG(0.5X22MM),0.0,558.3333333333334,0.0,New Moving Item,327.0668989828478,3.9052764057653473,Irregular
19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),4.411764705882353,58.333333333333336,1222.2222222222222,Strong Upward Trend,59.646393920272395,4.771711513621792,Irregular
19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),0.0,441.6666666666667,0.0,New Moving Item,247.3934632140179,3.7342409541738553,Irregular
19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),0.0,666.6666666666666,0.0,New Moving Item,411.84388379018645,4.118438837901865,Irregular
19992 MT 0.5 X 22,19992 MT 0.5 X 22,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular
19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),0.0,400.0,0.0,New Moving Item,256.2550812504343,4.270918020840571,Irregular
