Supplier Name,Sl No,Item Code / SKU,Item Name,Category Name,Category Box Qty,Quantity,Boxes,Unit,Purchase Price,Total Amount
RAHMA Associates,1,VB-19070(0.45MMX22MM),VB-19070(0.45MMX22MM),Uncategorized,0.0,1300.0,0.0,Meters,3.48,4524.0
RAHMA Associates,2,2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),Uncategorized,0.0,750.0,0.0,Meters,8.91,6682.5
RAHMA Associates,3,VAY BAND 1873 0.5MMX40MM,VAY BAND 1873 0.5MMX40MM,Uncategorized,0.0,317.0,0.0,Meters,8.26,2618.42
RAHMA Associates,4,19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),RX-VAYBAND-SOLID-GLOSSY-0.5*22,1300.0,1300.0,1.0,Meters,5.7,7410.0
RAHMA Associates,5,10659 (0.45X40MM),10659 (0.45X40MM),Uncategorized,0.0,9.0,0.0,Meters,7.37,66.33
RAHMA Associates,6,VB-2892 MT(.45X22MM),VB-2892 MT(.45X22MM),Uncategorized,0.0,9100.0,0.0,Meters,3.48,31668.0
RAHMA Associates,7,VAY BAND 1126 MT .45X22MM,VAY BAND 1126 MT .45X22MM,Uncategorized,0.0,2600.0,0.0,Meters,2.71,7046.0
RAHMA Associates,8,1140 HG (BAGE),1140 HG (BAGE),Uncategorized,0.0,1867.0,0.0,Meters,5.7,10641.9
Unknown Supplier,1,VAY G-PROFILE BLACK 10 FT-1050 GRM,VAY G-PROFILE BLACK 10 FT-1050 GRM,Uncategorized,0.0,30.0,0.0,Meters,580.0,17400.0
Unknown Supplier,2,VAY G-PROFILE BLACK 10 FT-1250 GRM,VAY G-PROFILE BLACK 10 FT-1250 GRM,Uncategorized,0.0,26.0,0.0,Meters,641.0,16666.0
