SlNo,Item Name,P.Price,Retail,COST,Qty,Amount
1,10397 HG(0.5X22 MM),7.15,8.92,7.15,4750.00,33962.50
2,10398 HG(0.5X22MM),7.15,8.92,7.15,5550.00,39682.50
3,10659 (0.45X40MM),7.37,9.40,7.37,0.00,0.00
4,1126 HG(0.5X40),7.98,11.88,7.98,1550.00,12369.00
5,1126 MT 0.5 X22,3.08,4.03,3.08,0.00,0.00
6,1131 0.5X40MM,8.91,12.75,8.91,1500.00,13365.00
7,1135 HG 0.5X40MM,7.98,11.88,7.98,1000.00,7980.00
8,1135 HG 0.8 X 22 MM,9.16,11.45,9.16,4200.00,38472.00
9,1140 HG (BAGE),5.70,7.12,5.70,1750.00,9975.00
10,11510 (0.45X40MM),7.37,9.40,7.37,500.00,3685.00
11,1261 HG (0.5 X 40 MM),7.98,11.88,7.98,700.00,5586.00
12,1261MT 2MMX22MM,14.41,14.41,14.41,600.00,8646.00
13,1264 MT 0.5 X 22,3.08,4.03,3.08,0.00,0.00
14,1267 HG(0.5X22MM),5.70,7.12,5.70,5800.00,33060.00
15,19070 MT(0.8MMX40MM),13.30,17.23,13.25,1300.00,17219.41
16,19991 HG (0.5 X 22 MM),4.96,6.19,4.96,4350.00,21576.00
17,19992 HG(0.5X22 MM),5.70,7.12,5.70,4450.00,25365.00
18,19992 MT 0.5 X 22,3.08,4.03,3.08,0.00,0.00
19,19993 HG(0.5X22 MM),5.70,7.12,4.96,400.00,1984.00
20,19994 HG(0.5X22MM),2.15,6.19,4.75,5350.00,25412.50
21,19995 HG(0.5X22MM),4.96,6.19,4.96,850.00,4216.00
22,19996 HG(0.5X22 MM),5.70,7.12,5.70,8600.00,49020.00
23,2891 0.5X40MM,8.91,12.75,8.91,2200.00,19602.00
24,2892 ( 0.5 X 40 MM ),8.91,12.75,8.91,250.00,2227.50
25,5465 (0.5X40MM),8.26,11.03,8.26,2800.00,23128.00
26,7611 (0.45 X 22 MM),3.48,4.58,3.48,3500.00,12180.00
